d1,type,d2
DB01435,0,DB00379
DB01142,0,DB00678
DB00317,0,DB00458
DB00490,0,DB00496
DB00188,0,DB04845
DB09061,0,DB00745
DB00270,0,DB00731
DB00501,0,DB01075
DB05219,0,DB01184
DB00207,0,DB00370
DB00673,0,DB00951
DB00866,0,DB01403
DB00472,0,DB01065
DB08918,0,DB00227
DB00176,0,DB00281
DB01016,0,DB00951
DB03128,0,DB00257
DB00320,0,DB00295
DB00836,0,DB01403
DB00907,0,DB00281
DB00602,0,DB01149
DB00588,0,DB00619
DB00619,0,DB06738
DB00091,0,DB00180
DB00501,0,DB01628
DB08865,0,DB13074
DB01244,0,DB00333
DB00276,0,DB00458
DB01418,0,DB01211
DB01120,0,DB00745
DB00356,0,DB04871
DB00216,0,DB09119
DB01429,0,DB00333
DB00608,0,DB00295
DB01026,0,DB00358
DB00333,0,DB00622
DB00496,0,DB04871
DB00482,0,DB12161
DB01075,0,DB01241
DB01026,0,DB00933
DB05812,0,DB08932
DB13956,0,DB00619
DB00363,0,DB00805
DB05676,0,DB08865
DB01075,0,DB01095
DB00543,0,DB00907
DB00446,0,DB01355
DB00990,0,DB01167
DB00956,0,DB04871
DB08865,0,DB09123
DB09039,0,DB01071
DB00604,0,DB00254
DB01029,0,DB00455
DB00201,0,DB01149
DB13874,0,DB00270
DB00188,0,DB00772
DB00972,0,DB00257
DB00402,0,DB01029
DB01151,0,DB08868
DB00748,0,DB00322
DB00655,0,DB01097
DB00835,0,DB00951
DB00169,0,DB00363
DB00262,0,DB00281
DB09555,0,DB09039
DB00482,0,DB06210
DB00343,0,DB01544
DB00482,0,DB01466
DB00169,0,DB00283
DB00188,0,DB01159
DB00091,0,DB00317
DB04841,0,DB01241
DB00482,0,DB01218
DB01211,0,DB00531
DB00822,0,DB00227
DB00586,0,DB01259
DB01544,0,DB00281
DB04871,0,DB00805
DB06216,0,DB00227
DB00257,0,DB00916
DB01151,0,DB09167
DB09167,0,DB00814
DB00907,0,DB00333
DB00289,0,DB01628
DB01435,0,DB09119
DB01101,0,DB13953
DB01067,0,DB01026
DB00482,0,DB01577
DB00758,0,DB01029
DB00918,0,DB08893
DB00496,0,DB00757
DB01012,0,DB01628
DB09039,0,DB00836
DB00499,0,DB00745
DB00199,0,DB06710
DB00845,0,DB00176
DB00741,0,DB00619
DB01095,0,DB09198
DB00835,0,DB08865
DB00257,0,DB08932
DB00307,0,DB00678
DB08865,0,DB01241
DB00501,0,DB13952
DB00898,0,DB00619
DB00363,0,DB00317
DB00501,0,DB01151
DB00477,0,DB09167
DB00176,0,DB01065
DB01118,0,DB06595
DB00227,0,DB01028
DB00215,0,DB01120
DB00496,0,DB00176
DB00608,0,DB00327
DB00321,0,DB00496
DB00136,0,DB00199
DB05812,0,DB00736
DB01012,0,DB00422
DB00322,0,DB06738
DB00758,0,DB01159
DB00783,0,DB01149
DB00091,0,DB00977
DB09231,0,DB00199
DB01227,0,DB01149
DB00289,0,DB01006
DB01240,0,DB01241
DB00608,0,DB08893
DB00883,0,DB01149
DB00446,0,DB01242
DB00091,0,DB00514
DB09198,0,DB00379
DB01241,0,DB00270
DB00289,0,DB01114
DB00289,0,DB00924
DB00176,0,DB14011
DB00169,0,DB08865
DB00745,0,DB14011
DB00257,0,DB00499
DB00091,0,DB01159
DB00568,0,DB00496
DB00918,0,DB01156
DB00395,0,DB00257
DB06403,0,DB00501
DB00188,0,DB04846
DB05541,0,DB00619
DB01118,0,DB01159
DB01558,0,DB00257
DB06216,0,DB00281
DB01223,0,DB00254
DB00972,0,DB00195
DB01235,0,DB08893
DB00637,0,DB00496
DB00619,0,DB00808
DB00289,0,DB00402
DB00091,0,DB01065
DB05219,0,DB01028
DB00956,0,DB00622
DB08865,0,DB00690
DB00612,0,DB01611
DB01151,0,DB09119
DB01576,0,DB00458
DB00199,0,DB01587
DB01118,0,DB05351
DB00188,0,DB00822
DB01097,0,DB00370
DB00514,0,DB00322
DB00176,0,DB00379
DB00091,0,DB00783
DB00257,0,DB01403
DB00835,0,DB00333
DB00518,0,DB00254
DB00358,0,DB01149
DB00608,0,DB00320
DB00356,0,DB01151
DB00584,0,DB00619
DB00176,0,DB01097
DB00907,0,DB01167
DB01274,0,DB05219
DB01118,0,DB00370
DB01426,0,DB01012
DB09061,0,DB00619
DB00170,0,DB00379
DB06210,0,DB01259
DB01114,0,DB01151
DB00176,0,DB09198
DB01101,0,DB03756
DB00988,0,DB01171
DB00215,0,DB00849
DB01175,0,DB06595
DB00518,0,DB00343
DB01156,0,DB00379
DB00748,0,DB00622
DB00188,0,DB01221
DB00195,0,DB00501
DB01558,0,DB00270
DB05541,0,DB06595
DB00289,0,DB00758
DB06203,0,DB00283
DB00544,0,DB01357
DB08875,0,DB06595
DB01426,0,DB00476
DB09123,0,DB00227
DB00289,0,DB12161
DB00289,0,DB01194
DB00343,0,DB00674
DB00343,0,DB00731
DB00201,0,DB01136
DB01075,0,DB04871
DB01211,0,DB00829
DB01241,0,DB01159
DB05351,0,DB01149
DB00327,0,DB01026
DB00543,0,DB00608
DB00736,0,DB14011
DB01118,0,DB06413
DB00188,0,DB00199
DB00091,0,DB00987
DB06216,0,DB00379
DB00215,0,DB00783
DB00518,0,DB01149
DB01211,0,DB09119
DB00201,0,DB12161
DB00316,0,DB00544
DB01558,0,DB09119
DB00843,0,DB04855
DB00796,0,DB01097
DB00289,0,DB00327
DB01418,0,DB00951
DB01355,0,DB00227
DB00590,0,DB00176
DB13874,0,DB01149
DB01159,0,DB01026
DB00185,0,DB00176
DB01558,0,DB06595
DB00188,0,DB08865
DB01296,0,DB01026
DB00628,0,DB04855
DB05219,0,DB00784
DB01211,0,DB00199
DB00749,0,DB01241
DB00091,0,DB08918
DB00201,0,DB00586
DB01218,0,DB00622
DB01244,0,DB00257
DB00201,0,DB01355
DB00969,0,DB01241
DB04855,0,DB00977
DB01026,0,DB14011
DB00283,0,DB08918
DB00356,0,DB01167
DB01435,0,DB00188
DB01195,0,DB00458
DB01393,0,DB00257
DB08865,0,DB00317
DB00590,0,DB06595
DB01151,0,DB01221
DB00257,0,DB00690
DB01418,0,DB08865
DB00672,0,DB00176
DB00544,0,DB00502
DB01118,0,DB00327
DB01095,0,DB01283
DB00289,0,DB00921
DB00091,0,DB00358
DB13954,0,DB00176
DB00694,0,DB00379
DB00477,0,DB00924
DB08875,0,DB00091
DB00629,0,DB06595
DB00969,0,DB00343
DB00201,0,DB00758
DB01159,0,DB00951
DB01067,0,DB00619
DB01410,0,DB04855
DB00501,0,DB04855
DB00921,0,DB00619
DB00907,0,DB00598
DB00215,0,DB00731
DB01075,0,DB00317
DB00199,0,DB01259
DB00356,0,DB01075
DB01142,0,DB01097
DB11817,0,DB00254
DB06216,0,DB00091
DB00690,0,DB01167
DB00969,0,DB00289
DB01101,0,DB01018
DB00501,0,DB00476
DB00283,0,DB00448
DB00257,0,DB01215
DB00598,0,DB08893
DB00266,0,DB00227
DB00254,0,DB00643
DB08865,0,DB00772
DB00199,0,DB00990
DB00972,0,DB01101
DB03128,0,DB01012
DB00188,0,DB09166
DB00254,0,DB00327
DB00622,0,DB00788
DB00180,0,DB00227
DB01167,0,DB00688
DB01241,0,DB11560
DB00289,0,DB00916
DB08865,0,DB00499
DB00612,0,DB00215
DB01218,0,DB00333
DB06605,0,DB00201
DB00796,0,DB00169
DB01118,0,DB00924
DB00866,0,DB01611
DB00612,0,DB01151
DB00927,0,DB00622
DB06413,0,DB01320
DB01393,0,DB00343
DB00865,0,DB00997
DB00612,0,DB00496
DB00379,0,DB01149
DB01012,0,DB08893
DB06736,0,DB00678
DB00472,0,DB01026
DB00091,0,DB00822
DB00544,0,DB00712
DB01101,0,DB00869
DB01211,0,DB00814
DB00546,0,DB01149
DB00289,0,DB01110
DB12010,0,DB01149
DB09167,0,DB00448
DB00835,0,DB01149
DB00289,0,DB01075
DB00201,0,DB04920
DB00501,0,DB00590
DB01426,0,DB06595
DB01559,0,DB00254
DB13952,0,DB00472
DB01075,0,DB06148
DB00278,0,DB00270
DB00477,0,DB00589
DB04840,0,DB09039
DB00543,0,DB00289
DB01410,0,DB00270
DB01026,0,DB00916
DB00619,0,DB00333
DB00865,0,DB00227
DB01118,0,DB00814
DB00783,0,DB01259
DB00736,0,DB00176
DB00199,0,DB04835
DB01234,0,DB00254
DB00496,0,DB00514
DB00829,0,DB00176
DB00289,0,DB00471
DB01197,0,DB00502
DB01118,0,DB00458
DB01156,0,DB01241
DB01410,0,DB00320
DB00678,0,DB00731
DB00176,0,DB00598
DB01435,0,DB01026
DB01114,0,DB00199
DB00898,0,DB00951
DB05219,0,DB01183
DB00458,0,DB01107
DB09119,0,DB05246
DB00283,0,DB01175
DB01026,0,DB00934
DB00201,0,DB04574
DB09119,0,DB13953
DB01012,0,DB08865
DB00176,0,DB00422
DB05541,0,DB01101
DB09061,0,DB09198
DB06203,0,DB04855
DB00907,0,DB01028
DB00257,0,DB00998
DB01241,0,DB00788
DB00176,0,DB01002
DB01431,0,DB00176
DB01167,0,DB01006
DB00327,0,DB00227
DB00501,0,DB06148
DB00972,0,DB00188
DB00921,0,DB08893
DB00845,0,DB00091
DB01156,0,DB00514
DB08868,0,DB00333
DB01026,0,DB01009
DB01118,0,DB00990
DB00207,0,DB01211
DB01195,0,DB01403
DB00865,0,DB01026
DB03128,0,DB00195
DB01151,0,DB00674
DB04841,0,DB01097
DB04574,0,DB01167
DB01101,0,DB00455
DB06413,0,DB00531
DB00988,0,DB01026
DB00270,0,DB01183
DB01118,0,DB01114
DB01118,0,DB05039
DB00281,0,DB00678
DB06203,0,DB00215
DB00307,0,DB09167
DB01167,0,DB00731
DB04840,0,DB00333
DB00343,0,DB04835
DB00328,0,DB00622
DB00758,0,DB01184
DB00201,0,DB13956
DB00188,0,DB01559
DB00531,0,DB01029
DB06413,0,DB00264
DB00169,0,DB00988
DB00921,0,DB00257
DB01026,0,DB00371
DB01075,0,DB01171
DB00320,0,DB00674
DB00343,0,DB08918
DB08865,0,DB14011
DB01191,0,DB00951
DB13956,0,DB01097
DB13874,0,DB00502
DB00343,0,DB09262
DB12267,0,DB01149
DB00448,0,DB01149
DB00514,0,DB01026
DB00188,0,DB01191
DB00182,0,DB01012
DB06777,0,DB00227
DB05219,0,DB13953
DB00322,0,DB01544
DB01075,0,DB00472
DB00501,0,DB01171
DB01254,0,DB09198
DB00343,0,DB12010
DB00257,0,DB01023
DB00987,0,DB01149
DB01114,0,DB00907
DB05219,0,DB01016
DB01068,0,DB00227
DB01026,0,DB01233
DB00169,0,DB13954
DB00257,0,DB11737
DB00924,0,DB09167
DB01218,0,DB00678
DB01219,0,DB00254
DB01426,0,DB04855
DB04855,0,DB00678
DB00757,0,DB00622
DB00458,0,DB00731
DB04855,0,DB00588
DB11737,0,DB01149
DB01118,0,DB01227
DB01410,0,DB00199
DB01166,0,DB01012
DB00215,0,DB00254
DB00346,0,DB00176
DB00201,0,DB00783
DB09039,0,DB08918
DB00185,0,DB09039
DB00773,0,DB00619
DB00195,0,DB00482
DB00343,0,DB00751
DB00297,0,DB00745
DB05219,0,DB00988
DB00672,0,DB09119
DB00987,0,DB00343
DB00987,0,DB00199
DB01223,0,DB00188
DB00866,0,DB00502
DB13874,0,DB00678
DB01018,0,DB00678
DB00472,0,DB00295
DB00254,0,DB00736
DB00257,0,DB13074
DB00199,0,DB00603
DB01023,0,DB00784
DB00477,0,DB09555
DB06216,0,DB00283
DB00608,0,DB00678
DB00783,0,DB01171
DB00501,0,DB00328
DB00320,0,DB04835
DB00169,0,DB00320
DB01136,0,DB00458
DB00477,0,DB00216
DB00619,0,DB00602
DB00254,0,DB13952
DB00628,0,DB00257
DB13952,0,DB00745
DB00207,0,DB01075
DB00835,0,DB00363
DB00356,0,DB00907
DB00758,0,DB01167
DB01435,0,DB00169
DB01242,0,DB01218
DB00796,0,DB00544
DB13874,0,DB01241
DB00254,0,DB01159
DB01012,0,DB00988
DB00281,0,DB06595
DB00482,0,DB00281
DB00227,0,DB00731
DB01118,0,DB01576
DB00295,0,DB01149
DB01435,0,DB09039
DB00257,0,DB01196
DB01197,0,DB04871
DB00637,0,DB09167
DB00356,0,DB00379
DB01118,0,DB00180
DB01095,0,DB01221
DB00091,0,DB00281
DB01101,0,DB01120
DB00320,0,DB01171
DB00608,0,DB01577
DB00327,0,DB00622
DB00180,0,DB00176
DB00254,0,DB00528
DB01194,0,DB00270
DB13956,0,DB00176
DB01023,0,DB00788
DB00783,0,DB01023
DB06016,0,DB00176
DB00091,0,DB09078
DB06626,0,DB00169
DB04871,0,DB08893
DB00458,0,DB01026
DB00199,0,DB00458
DB09223,0,DB00257
DB00637,0,DB00091
DB00381,0,DB00283
DB00612,0,DB09039
DB01211,0,DB00694
DB00490,0,DB00907
DB00502,0,DB00295
DB00829,0,DB00322
DB00320,0,DB00883
DB01175,0,DB01403
DB00544,0,DB09048
DB06605,0,DB00678
DB00188,0,DB00917
DB05219,0,DB00869
DB00502,0,DB06148
DB11817,0,DB01211
DB13956,0,DB01095
DB00758,0,DB06148
DB01274,0,DB00446
DB09167,0,DB01065
DB01128,0,DB00254
DB00402,0,DB01095
DB00254,0,DB06702
DB13952,0,DB00281
DB00921,0,DB09198
DB00289,0,DB00628
DB00215,0,DB00988
DB01195,0,DB00622
DB00185,0,DB00257
DB00544,0,DB00333
DB01429,0,DB01012
DB13953,0,DB00619
DB00188,0,DB00773
DB05541,0,DB05219
DB00283,0,DB00593
DB04846,0,DB00619
DB01196,0,DB00176
DB00829,0,DB01029
DB01429,0,DB01156
DB00289,0,DB00136
DB00502,0,DB00379
DB01206,0,DB06595
DB06016,0,DB09167
DB00619,0,DB00379
DB01026,0,DB06282
DB00091,0,DB00588
DB01558,0,DB00281
DB00356,0,DB06595
DB13953,0,DB00745
DB00472,0,DB01177
DB00333,0,DB00295
DB00289,0,DB00869
DB05381,0,DB01026
DB06016,0,DB00458
DB00544,0,DB00788
DB01355,0,DB00745
DB01075,0,DB00934
DB00568,0,DB00622
DB00482,0,DB01071
DB00316,0,DB00254
DB00289,0,DB01219
DB00608,0,DB01026
DB00254,0,DB04835
DB13874,0,DB00379
DB01435,0,DB01156
DB00270,0,DB09078
DB00297,0,DB00446
DB00188,0,DB00333
DB00363,0,DB00736
DB00502,0,DB01028
DB00091,0,DB00280
DB00470,0,DB00951
DB00283,0,DB00907
DB00254,0,DB04855
DB00091,0,DB01357
DB00543,0,DB01026
DB00748,0,DB00199
DB09555,0,DB01167
DB00796,0,DB00678
DB00257,0,DB00584
DB12161,0,DB04871
DB00266,0,DB09167
DB00546,0,DB00951
DB01435,0,DB00951
DB00333,0,DB00379
DB01151,0,DB00502
DB00988,0,DB00264
DB00918,0,DB01403
DB00216,0,DB01097
DB00195,0,DB01026
DB00257,0,DB06689
DB00501,0,DB06700
DB00321,0,DB00736
DB03128,0,DB00169
DB09223,0,DB00283
DB00169,0,DB00568
DB00514,0,DB00199
DB00907,0,DB00623
DB00207,0,DB01628
DB04841,0,DB00281
DB00476,0,DB01195
DB00215,0,DB14011
DB09223,0,DB00176
DB08899,0,DB00176
DB00195,0,DB00502
DB00836,0,DB01149
DB04920,0,DB01403
DB06736,0,DB00169
DB00748,0,DB01241
DB00320,0,DB06282
DB00322,0,DB00678
DB00521,0,DB00176
DB00446,0,DB01211
DB00381,0,DB00091
DB00589,0,DB04871
DB00501,0,DB01403
DB00195,0,DB00622
DB00216,0,DB06595
DB00865,0,DB08865
DB00343,0,DB00471
DB04855,0,DB01110
DB04871,0,DB00295
DB00091,0,DB00455
DB01355,0,DB01149
DB00257,0,DB00598
DB00153,0,DB00619
DB00333,0,DB01028
DB13955,0,DB01029
DB01177,0,DB04871
DB12483,0,DB00091
DB00199,0,DB00762
DB01068,0,DB00257
DB01196,0,DB00270
DB00608,0,DB01206
DB00320,0,DB01028
DB00188,0,DB00907
DB01118,0,DB01628
DB00898,0,DB09198
DB08865,0,DB00694
DB00283,0,DB00889
DB06605,0,DB00215
DB00201,0,DB01191
DB06016,0,DB00622
DB00678,0,DB00333
DB00446,0,DB01175
DB11817,0,DB00283
DB13953,0,DB01149
DB08918,0,DB06595
DB00501,0,DB01065
DB00990,0,DB00176
DB00188,0,DB04574
DB00215,0,DB06738
DB00283,0,DB01587
DB01380,0,DB00091
DB00169,0,DB06292
DB00328,0,DB01171
DB00835,0,DB00501
DB00257,0,DB01065
DB09167,0,DB00216
DB08865,0,DB13952
DB00254,0,DB01241
DB00869,0,DB00544
DB00918,0,DB00736
DB01151,0,DB01071
DB00501,0,DB12161
DB00758,0,DB08865
DB01136,0,DB00907
DB00736,0,DB00983
DB13955,0,DB00951
DB01018,0,DB01097
DB01544,0,DB01171
DB05219,0,DB00216
DB00257,0,DB01039
DB00455,0,DB01149
DB01403,0,DB01171
DB00802,0,DB00227
DB00851,0,DB06595
DB09167,0,DB04574
DB00254,0,DB05039
DB01211,0,DB00358
DB00182,0,DB04871
DB00476,0,DB01577
DB01118,0,DB12010
DB00531,0,DB00176
DB00593,0,DB00227
DB01466,0,DB00270
DB00257,0,DB05381
DB00758,0,DB01221
DB06413,0,DB01175
DB00672,0,DB00215
DB00091,0,DB00949
DB00321,0,DB00907
DB00188,0,DB06710
DB00091,0,DB00451
DB00283,0,DB01221
DB00829,0,DB01026
DB13953,0,DB01241
DB00289,0,DB00501
DB00188,0,DB00294
DB00822,0,DB00254
DB00169,0,DB00934
DB00321,0,DB09167
DB03128,0,DB01403
DB00207,0,DB00629
DB00289,0,DB13074
DB00544,0,DB01029
DB00188,0,DB00674
DB06626,0,DB00501
DB09166,0,DB09198
DB00316,0,DB01097
DB09119,0,DB01355
DB00608,0,DB00254
DB00835,0,DB01259
DB00283,0,DB00845
DB00289,0,DB00748
DB05541,0,DB00283
DB00802,0,DB00270
DB00176,0,DB01016
DB00195,0,DB00889
DB00257,0,DB00332
DB01118,0,DB00317
DB00321,0,DB00501
DB01118,0,DB01393
DB00514,0,DB00254
DB01094,0,DB09198
DB00972,0,DB00201
DB01211,0,DB00869
DB00091,0,DB09031
DB05219,0,DB01159
DB00934,0,DB00379
DB00201,0,DB00773
DB00458,0,DB00270
DB00289,0,DB00836
DB00207,0,DB00283
DB01118,0,DB00869
DB01410,0,DB08865
DB00694,0,DB00254
DB01211,0,DB00883
DB00320,0,DB13952
DB00363,0,DB01167
DB01114,0,DB00227
DB08865,0,DB00455
DB00283,0,DB00834
DB00091,0,DB00499
DB00270,0,DB06595
DB01039,0,DB00176
DB00195,0,DB00531
DB01101,0,DB00788
DB00575,0,DB01026
DB08875,0,DB09198
DB13953,0,DB01029
DB00136,0,DB00343
DB00321,0,DB01023
DB00758,0,DB01075
DB00482,0,DB09053
DB00289,0,DB00333
DB05219,0,DB01259
DB00333,0,DB06595
DB00477,0,DB00317
DB13954,0,DB01029
DB05676,0,DB00270
DB00257,0,DB04845
DB09039,0,DB00805
DB00835,0,DB01012
DB06292,0,DB00458
DB01274,0,DB00544
DB00502,0,DB00622
DB01118,0,DB00783
DB00866,0,DB00496
DB00907,0,DB01577
DB00188,0,DB00757
DB00969,0,DB00176
DB04855,0,DB01228
DB05812,0,DB00916
DB00207,0,DB01242
DB01114,0,DB00254
DB00240,0,DB04855
DB01029,0,DB00916
DB00240,0,DB00254
DB00983,0,DB00745
DB00907,0,DB00472
DB00215,0,DB01296
DB00091,0,DB11737
DB00257,0,DB00987
DB00188,0,DB01006
DB00490,0,DB06595
DB01274,0,DB08893
DB09223,0,DB00091
DB00254,0,DB00448
DB01156,0,DB00843
DB00169,0,DB00751
DB05219,0,DB00829
DB00757,0,DB01095
DB00568,0,DB08893
DB01156,0,DB06701
DB06403,0,DB00270
DB00514,0,DB00619
DB01429,0,DB00608
DB01211,0,DB01219
DB00619,0,DB01020
DB00990,0,DB00227
DB00745,0,DB01149
DB00835,0,DB09198
DB00289,0,DB01410
DB00472,0,DB08932
DB00972,0,DB01259
DB09061,0,DB06595
DB00983,0,DB00622
DB00612,0,DB00502
DB09223,0,DB00343
DB09039,0,DB00422
DB04855,0,DB00688
DB00851,0,DB00951
DB01223,0,DB00281
DB06210,0,DB09198
DB00176,0,DB00328
DB00564,0,DB00472
DB00637,0,DB00477
DB01156,0,DB00933
DB01194,0,DB00343
DB06016,0,DB04871
DB06413,0,DB00983
DB00575,0,DB00257
DB08865,0,DB00530
DB00321,0,DB00622
DB00969,0,DB00201
DB00270,0,DB00471
DB00783,0,DB01095
DB00918,0,DB00281
DB00257,0,DB01248
DB01118,0,DB01380
DB00672,0,DB00736
DB09223,0,DB01167
DB00589,0,DB00264
DB00289,0,DB00195
DB00195,0,DB13874
DB00320,0,DB00530
DB13954,0,DB00544
DB00865,0,DB00176
DB01181,0,DB00678
DB00927,0,DB00176
DB00674,0,DB00622
DB00289,0,DB00448
DB00496,0,DB01028
DB01114,0,DB01167
DB00482,0,DB00477
DB00872,0,DB00176
DB08907,0,DB00619
DB00476,0,DB06148
DB00185,0,DB01242
DB01151,0,DB00590
DB00972,0,DB00472
DB01211,0,DB00951
DB00297,0,DB08893
DB00612,0,DB08865
DB00477,0,DB01191
DB00356,0,DB09039
DB00321,0,DB00544
DB01095,0,DB00222
DB01181,0,DB00951
DB08865,0,DB00655
DB00318,0,DB00320
DB04855,0,DB01126
DB09167,0,DB00590
DB01065,0,DB06595
DB01410,0,DB00619
DB01156,0,DB01184
DB01151,0,DB06595
DB00289,0,DB00294
DB00390,0,DB00320
DB00182,0,DB00248
DB00215,0,DB00281
DB01181,0,DB06595
DB00748,0,DB00227
DB00343,0,DB00270
DB00496,0,DB01167
DB09231,0,DB01167
DB05039,0,DB01026
DB00544,0,DB00619
DB01241,0,DB00222
DB13955,0,DB00544
DB05676,0,DB00619
DB00598,0,DB01403
DB05219,0,DB01177
DB00169,0,DB00402
DB00907,0,DB04871
DB03128,0,DB01156
DB00802,0,DB00283
DB00207,0,DB01142
DB00783,0,DB00678
DB00176,0,DB00762
DB00370,0,DB01149
DB01435,0,DB00758
DB00227,0,DB11828
DB00783,0,DB01241
DB04855,0,DB13956
DB00951,0,DB00836
DB00758,0,DB01181
DB00501,0,DB00751
DB00091,0,DB03756
DB08865,0,DB01075
DB06413,0,DB06626
DB08868,0,DB00270
DB00289,0,DB01466
DB06292,0,DB09167
DB00201,0,DB11737
DB00757,0,DB00619
DB08865,0,DB00688
DB00748,0,DB00343
DB00947,0,DB01167
DB01211,0,DB12010
DB08865,0,DB09166
DB00199,0,DB01023
DB06203,0,DB00176
DB09061,0,DB05219
DB11817,0,DB00270
DB00188,0,DB09198
DB01028,0,DB06595
DB00254,0,DB09166
DB00176,0,DB00916
DB00568,0,DB04871
DB00501,0,DB00927
DB00297,0,DB00199
DB00215,0,DB00788
DB13874,0,DB04871
DB00091,0,DB13952
DB01200,0,DB00343
DB00530,0,DB00502
DB00289,0,DB00741
DB00866,0,DB00289
DB00951,0,DB01149
DB06605,0,DB00322
DB01211,0,DB01396
DB00185,0,DB04855
DB00207,0,DB00788
DB00257,0,DB01177
DB00690,0,DB00619
DB01075,0,DB00836
DB05219,0,DB00843
DB00257,0,DB00736
DB00270,0,DB04835
DB03756,0,DB00176
DB00245,0,DB00745
DB00289,0,DB00528
DB00264,0,DB00731
DB00091,0,DB00643
DB01101,0,DB01142
DB00446,0,DB01018
DB01142,0,DB01029
DB00924,0,DB00091
DB06203,0,DB00502
DB13953,0,DB09198
DB00969,0,DB00091
DB00343,0,DB00822
DB00278,0,DB00188
DB00477,0,DB00983
DB00176,0,DB00643
DB01018,0,DB00951
DB00851,0,DB09198
DB01114,0,DB00622
DB01431,0,DB00320
DB00835,0,DB00544
DB01118,0,DB06292
DB00322,0,DB00471
DB00544,0,DB01159
DB00608,0,DB00496
DB00201,0,DB13953
DB00531,0,DB04871
DB00546,0,DB00619
DB00257,0,DB00927
DB00195,0,DB01142
DB01151,0,DB09555
DB00757,0,DB01403
DB13954,0,DB01241
DB04855,0,DB04574
DB01050,0,DB00951
DB00185,0,DB00907
DB06738,0,DB00622
DB00829,0,DB00199
DB01244,0,DB00608
DB00188,0,DB01407
DB00283,0,DB00724
DB00482,0,DB00439
DB00324,0,DB01149
DB06701,0,DB00333
DB01418,0,DB00227
DB00188,0,DB00176
DB00188,0,DB06738
DB00482,0,DB01029
DB00297,0,DB00333
DB01396,0,DB00270
DB00215,0,DB00496
DB09039,0,DB01095
DB01118,0,DB01142
DB00604,0,DB09167
DB06736,0,DB09198
DB00531,0,DB00270
DB09053,0,DB04871
DB00283,0,DB00731
DB00091,0,DB01167
DB00619,0,DB01259
DB01184,0,DB06595
DB00482,0,DB00829
DB09555,0,DB09167
DB00182,0,DB00502
DB00289,0,DB13953
DB00496,0,DB00379
DB05219,0,DB00402
DB00207,0,DB00297
DB00612,0,DB00458
DB06016,0,DB00320
DB00564,0,DB01175
DB01151,0,DB00295
DB00501,0,DB01018
DB01426,0,DB00458
DB08865,0,DB01067
DB00531,0,DB09167
DB06772,0,DB01023
DB00736,0,DB00783
DB04841,0,DB00951
DB00612,0,DB00477
DB01211,0,DB01149
DB00543,0,DB00477
DB00320,0,DB08906
DB00289,0,DB01026
DB00207,0,DB00201
DB06725,0,DB00227
DB01075,0,DB01218
DB00254,0,DB12010
DB01067,0,DB01149
DB06403,0,DB00176
DB00176,0,DB01587
DB01429,0,DB01242
DB00257,0,DB00988
DB01156,0,DB00363
DB00195,0,DB00490
